hardware_id,hardware_name,enclosure_class,external_dimensions_mm,internal_width_mm,internal_depth_mm,internal_height_mm,growth_area_m2,growth_volume_L,total_volume_L,root_module_type,root_zone_height_mm,flow_driver,inlet_configuration,outlet_configuration,nominal_flow_rate_m3h,nominal_canopy_velocity_mps,environmental_control_level,cabin_coupling_mode
Microgreen,Barker Lab Microgreen Chamber,Benchtop phenotyping,127 x 193 x 150,120.0,186.7,96.7,0.0224,2.33,2.33,Flush tray,25.0,Sunon MF50100V2 axial fan,Single circular port (dia 40mm) at z=66.7mm,Single circular port (dia 40mm) at z=66.7mm,11.8,0.262,None (ambient lab),Sealed
VEGGIE,Vegetable Production System (VPS),Deployable space garden,292 x 368 x 470,292.0,368.0,350.0,0.1075,37.61,40.66,6x arcillite plant pillows,40.0,Centrifugal suction fan,4x passive base perimeter slots (h=10mm),Single top exhaust port (dia 50mm) in lightcap,85.0,0.150,Minimal (ISS cabin dependent),Open mass/thermal exchange
APH,Advanced Plant Habitat,Research-grade phytotron,454 x 408 x 501,454.0,408.0,450.0,0.1708,83.36,92.80,4-quadrant Science Carrier,51.0,Dual symmetric ECS blowers,Dual lateral supply slots (w=408mm h=15mm),4x ceiling perimeter exhaust strips (w=20mm),26.4,0.600,Full closed-loop (T RH CO2 C2H4),Closed-loop EXPRESS rack payload
CHROMEX,Plant Growth Unit (PGU / PGC),Shuttle Middeck phytotron,510 x 360 x 270,95.0,48.0,190.0,0.0274,4.10,49.57,Porous synthetic foam block,40.0,PGU chassis fans + AES needle port,Lower needle manifold port (dia 6mm),Lid perimeter exhaust slots,0.001,0.0098,PGU lamp cooling / optional PGC AES,Shuttle Middeck Locker replacement
