Dish Geometry,Flight Habitat,Biological Specimen,Ambient Gravity,Seam Perimeter (mm),External Velocity U (m/s),External BL delta_ext (mm),BL Resistance r_ext (s/m),Micropore Tape r_tape (s/m),Internal Headspace r_int (s/m),Total Resistance r_tot (s/m),Equilibrium O2 (%),Equilibrium C2H4 (ppm),Condensation Onset Time (h)
Square (100x100x20 mm),NASA VEGGIE (VPS),Arabidopsis Seedlings,Earth (1.0g),400,0.150,4.8,120,650,450,1220,18.4,0.32,18.5
Square (100x100x20 mm),NASA VEGGIE (VPS),Arabidopsis Seedlings,Moon (0.166g),400,0.150,6.2,210,650,450,1310,16.8,0.52,12.0
Square (100x100x20 mm),NASA VEGGIE (VPS),Arabidopsis Seedlings,0g Microgravity,400,0.150,8.5,380,650,450,1480,14.2,0.85,6.5
Round (Ø90x15 mm),NASA APH,Cotton Cell Culture,Earth (1.0g),283,0.600,2.2,45,920,320,1285,18.6,0.18,>48
Round (Ø90x15 mm),NASA APH,Cotton Cell Culture,Moon (0.166g),283,0.600,2.3,48,920,320,1288,18.2,0.22,>48
Round (Ø90x15 mm),NASA APH,Cotton Cell Culture,0g Microgravity,283,0.600,2.4,50,920,320,1290,17.8,0.28,38.0
Square (100x100x20 mm),Static Sealed (No Tape),Arabidopsis Seedlings,0g Microgravity,0,0.000,>25.0,>2000,>100000,450,>102450,<2.0 (Hypoxic),>3.5 (Toxic),1.8
