hardware,gravity,fan_mode,canopy_mean_vel_mps,canopy_tke_m2s2,boundary_layer_thickness_mm,Sherwood_number_CO2,g_bl_mol_m2_s,g_bl_rel_earth,canopy_shear_stress_mPa,stagnant_fraction_pct
Microgreen,1g,Nominal,0.262,4.82e-3,2.41,28.4,0.724,1.000,18.4,14.2
Microgreen,0.38g,Nominal,0.262,4.65e-3,2.45,27.9,0.712,0.983,18.2,12.8
Microgreen,0.166g,Nominal,0.262,4.52e-3,2.49,27.5,0.701,0.968,18.0,11.5
Microgreen,0g,Nominal,0.262,4.40e-3,2.54,27.0,0.688,0.950,17.8,9.6
VEGGIE,1g,Low Fan,0.065,1.12e-3,4.82,14.2,0.362,1.000,4.2,32.4
VEGGIE,1g,High Fan,0.150,3.45e-3,3.18,21.6,0.551,1.000,9.8,11.2
VEGGIE,0.38g,Low Fan,0.065,0.95e-3,5.65,12.1,0.308,0.851,3.6,38.6
VEGGIE,0.38g,High Fan,0.150,3.28e-3,3.25,21.1,0.538,0.976,9.5,12.5
VEGGIE,0.166g,Low Fan,0.065,0.82e-3,6.42,10.6,0.270,0.746,3.1,44.2
VEGGIE,0.166g,High Fan,0.150,3.15e-3,3.31,20.7,0.528,0.958,9.2,13.8
VEGGIE,0g,Low Fan,0.065,0.68e-3,7.95,8.6,0.219,0.605,2.4,52.8
VEGGIE,0g,High Fan,0.150,3.02e-3,3.40,20.2,0.515,0.935,8.9,15.4
APH,1g,Nominal (0.6 m/s),0.600,1.24e-2,1.58,43.2,1.102,1.000,42.5,2.1
APH,0.38g,Nominal (0.6 m/s),0.600,1.22e-2,1.60,42.8,1.092,0.991,42.2,2.2
APH,0.166g,Nominal (0.6 m/s),0.600,1.21e-2,1.61,42.5,1.084,0.984,42.0,2.4
APH,0g,Nominal (0.6 m/s),0.600,1.19e-2,1.63,42.0,1.071,0.972,41.6,2.6
APH,0g,Low (0.3 m/s),0.300,5.80e-3,2.24,30.5,0.778,0.706,20.4,5.8
APH,0g,High (1.5 m/s),1.500,3.65e-2,0.98,68.4,1.745,1.583,115.2,0.4
CHROMEX PGC,0g,AES Active (1.0 L/h),0.0098,2.50e-5,12.40,3.8,0.097,0.134,0.4,68.5
CHROMEX PGC,0g,Static Sealed (0 L/h),0.0000,0.00e+00,25.00,1.2,0.031,0.043,0.0,100.0
